vcfname	strainName	paper_year	PRJcode	clade/population/classification
ERR747917	ZP563	Almeida_2015	PRJEB7601	Mediterranean oak
ERR747918	ZP564	Almeida_2015	PRJEB7601	Mediterranean oak
ERR752939	ZP565	Almeida_2015	PRJEB7601	Mediterranean oak
ERR747919	ZP566	Almeida_2015	PRJEB7601	Mediterranean oak
ERR752938	ZP568	Almeida_2015	PRJEB7601	Mediterranean oak
ERR747916	ZP570	Almeida_2015	PRJEB7601	Mediterranean oak
ERR747920	ZP575	Almeida_2015	PRJEB7601	Mediterranean oak
ERR752930	ZP577	Almeida_2015	PRJEB7601	Wine
ERR752929	ZP578	Almeida_2015	PRJEB7601	Wine
ERR752931	ZP579	Almeida_2015	PRJEB7601	Wine
ERR747921	ZP590	Almeida_2015	PRJEB7601	Mediterranean oak
ERR752935	ZP633	Almeida_2015	PRJEB7601	Mediterranean oak
ERR752936	ZP636	Almeida_2015	PRJEB7601	Mediterranean oak
ERR747910	ZP641	Almeida_2015	PRJEB7601	Wine
ERR752944	ZP649	Almeida_2015	PRJEB7601	North America/Japan
ERR752945	ZP650	Almeida_2015	PRJEB7601	North America/Japan
ERR747923	ZP651	Almeida_2015	PRJEB7601	North America/Japan
ERR747924	ZP652	Almeida_2015	PRJEB7601	North America/Japan
ERR752942	ZP653	Almeida_2015	PRJEB7601	North America/Japan
ERR752946	ZP654	Almeida_2015	PRJEB7601	North America/Japan
ERR752947	ZP655	Almeida_2015	PRJEB7601	North America/Japan
ERR752941	ZP656	Almeida_2015	PRJEB7601	North America/Japan
ERR752948	ZP657	Almeida_2015	PRJEB7601	North America/Japan
ERR752949	ZP658	Almeida_2015	PRJEB7601	North America/Japan
ERR752950	ZP674	Almeida_2015	PRJEB7601	North America/Japan
ERR754610	ZP675	Almeida_2015	PRJEB7601	North America/Japan
ERR754607	ZP676	Almeida_2015	PRJEB7601	North America/Japan
ERR754608	ZP677	Almeida_2015	PRJEB7601	North America/Japan
ERR754609	ZP678	Almeida_2015	PRJEB7601	North America/Japan
ERR752943	ZP680	Almeida_2015	PRJEB7601	North America/Japan
ERR752933	ZP736	Almeida_2015	PRJEB7601	Mediterranean oak
ERR747913	ZP742	Almeida_2015	PRJEB7601	Mediterranean oak
ERR754619	ZP778	Almeida_2015	PRJEB7601	North America/Japan
ERR754611	ZP779	Almeida_2015	PRJEB7601	North America/Japan
ERR754614	ZP781	Almeida_2015	PRJEB7601	North America/Japan
ERR754620	ZP783	Almeida_2015	PRJEB7601	North America/Japan
ERR754621	ZP784	Almeida_2015	PRJEB7601	North America/Japan
ERR754612	ZP785	Almeida_2015	PRJEB7601	North America/Japan
ERR754617	ZP786	Almeida_2015	PRJEB7601	North America/Japan
ERR754615	ZP793	Almeida_2015	PRJEB7601	North America/Japan
ERR754622	ZP794	Almeida_2015	PRJEB7601	North America/Japan
ERR754616	ZP796	Almeida_2015	PRJEB7601	North America/Japan
ERR754613	ZP817	Almeida_2015	PRJEB7601	North America/Japan
ERR754618	ZP823	Almeida_2015	PRJEB7601	North America/Japan
ERR747915	ZP850	Almeida_2015	PRJEB7601	Mediterranean oak
ERR912233	ZP851	Almeida_2015	PRJEB7601	Mediterranean oak
ERR747914	ZP860	Almeida_2015	PRJEB7601	Mediterranean oak
ERR747909	ZP861	Almeida_2015	PRJEB7601	Wine
ERR747908	ZP862	Almeida_2015	PRJEB7601	Wine
